"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/angular-1.7.8/package/angular.js","1289","7","1289","22"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/angular-1.7.8/package/angular.js","16418","15","16422","17"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/backbone-localstorage-0.3.2/package/test/vendor/jquery.js","569","15","569","46"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/backbone-localstorage-0.3.2/package/test/vendor/underscore.js","1206","16","1206","68"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/flot-3.2.5/package/source/jquery.js","524","13","524","44"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/jade-1.11.0/package/jade.js","220","8","220","39"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/jade-1.11.0/package/jade.js","1227","3","1227","38"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/jade-1.11.0/package/jade.js","4503","10","4503","81"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/jade-1.11.0/package/jade.js","6252","10","6252","31"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/jade-1.11.0/package/lib/index.js","218","8","218","39"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/jade-1.11.0/package/lib/lexer.js","30","3","30","38"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/jsdiff-1.1.1/package/readme.js","9","36","9","77"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/mocha-6.2.0/package/mocha.js","13217","13","13217","119"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/as-function.js","1364","5","1366","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/as-function.js","1380","5","1382","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/as-function.js","1567","5","1569","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/as-function.js","2470","5","2470","24"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/cjs/should.js","1364","5","1366","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/cjs/should.js","1380","5","1382","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/cjs/should.js","1567","5","1569","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/cjs/should.js","2470","5","2470","24"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/cjs/should.js","2946","38","2946","60"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/es6/should.js","1360","5","1362","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/es6/should.js","1376","5","1378","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/es6/should.js","1563","5","1565","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/es6/should.js","2466","5","2466","24"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/es6/should.js","2942","38","2942","60"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/should.js","2765","5","2767","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/should.js","2781","5","2783","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/should.js","2968","5","2970","28"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/should.js","3871","5","3871","24"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/should-13.2.3/package/should.js","4347","38","4347","60"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/static-eval-2.0.5/package/index.js","176","20","176","71"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/twitter-bootstrap-2.1.1/package/docs/assets/js/jquery.js","2","10894","2","10918"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/twitter-bootstrap-2.1.1/package/js/tests/vendor/jquery.js","2","10894","2","10918"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/uglify-to-browserify-2.1.0/package/test/index.js","14","5","14","44"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/uglify-to-browserify-2.1.0/package/test/index.js","35","12","35","56"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/vis-4.21.0-EOL/package/dist/vis.js","4057","5","4057","27"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/vis-4.21.0-EOL/package/dist/vis.js","34455","11","34455","33"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern used for .call and .apply methods","warning","Got it!","/vis-4.21.0-EOL/package/docs/js/ie-emulation-modes-warning.js","28","26","28","79"
