"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/dist/alt.js","222","15","222","82"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/dist/alt.js","288","34","288","102"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/dist/alt.js","1424","25","1424","55"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/dist/alt.js","1782","58","1782","88"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/dist/alt.js","1906","45","1906","89"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/lib/actions/index.js","44","44","44","88"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/lib/index.js","159","14","159","81"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/lib/index.js","225","33","225","101"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/lib/store/AltStore.js","28","24","28","54"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/alt-0.18.6/package/lib/store/StoreMixin.js","162","57","162","87"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/mocha-6.2.0/package/mocha.js","11293","39","11293","127"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/mocha-6.2.0/package/mocha.js","11377","43","11377","132"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/mocha-6.2.0/package/mocha.js","11603","41","11603","95"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/mocha-6.2.0/package/mocha.js","11661","46","11661","128"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/mocha-6.2.0/package/mocha.js","11737","41","11737","95"
"Code injection custom 2","Interpreting unsanitized user input as code allows a malicious user arbitrary code execution. Pattern for comman execution; example: (1, eval)(data)","warning","Got it!","/mocha-6.2.0/package/mocha.js","12088","41","12088","93"
